Expected Token: BEGIN        Actual Token: BEGIN          
Expected Token: ID           Actual Token: B              
Expected Token: ASSIGNOP     Actual Token: :=             
Expected Token: ID           Actual Token: A              
Expected Token: SEMICOLON    Actual Token: ;              
Expected Token: ID           Actual Token: B              
Expected Token: ASSIGNOP     Actual Token: :=             
Expected Token: INTLITERAL   Actual Token: 7              
Expected Token: PLUSOP       Actual Token: +              
Expected Token: ID           Actual Token: E              
Expected Token: SEMICOLON    Actual Token: ;              
Expected Token: ID           Actual Token: B              
Expected Token: ASSIGNOP     Actual Token: :=             
Expected Token: INTLITERAL   Actual Token: 6              
Expected Token: SEMICOLON    Actual Token: ;              
Expected Token: WHILE        Actual Token: WHILE          
Expected Token: LPAREN       Actual Token: (              
Expected Token: ID           Actual Token: PIZZA          
Expected Token: LESSOP       Actual Token: <>             
Expected Token: GREATEROP    Actual Token: ORANGE         
Expected Token: RPAREN       Actual Token: )              
Expected Token: ENDWHILE     Actual Token: ENDWHILE       
Expected Token: READ         Actual Token: READ           
Expected Token: LPAREN       Actual Token: (              
Expected Token: ID           Actual Token: A              
Expected Token: RPAREN       Actual Token: )              
Expected Token: SEMICOLON    Actual Token: ;              
Expected Token: WRITE        Actual Token: WRITE          
Expected Token: LPAREN       Actual Token: (              
Expected Token: ID           Actual Token: A              
Expected Token: RPAREN       Actual Token: )              
Expected Token: SEMICOLON    Actual Token: ;              
Expected Token: IF           Actual Token: IF             
Expected Token: LPAREN       Actual Token: (              
Expected Token: ID           Actual Token: B              
Expected Token: LESSOP       Actual Token: <              
Expected Token: ID           Actual Token: A              
Expected Token: RPAREN       Actual Token: )              
Expected Token: THEN         Actual Token: THEN           
Expected Token: ELSE         Actual Token: ELSE           
Expected Token: ENDIF        Actual Token: ENDIF          
Expected Token: END          Actual Token: END            
Expected Token: EOF          Actual Token: EOF            
